Date,Open,High,Low,Close,Volume,Adj. Close
2017-01-21,896.1,928.0,892.81,919.33,6449.96524072,919.33
2017-01-22,920.0,937.74,886.76,908.99,6974.82474351,908.99
2017-01-23,908.99,927.57,908.99,921.1,3013.68123384,921.1
2017-01-24,919.54,924.17,892.04,906.04,8018.44713458,906.04
2017-01-25,906.04,909.48,881.48,894.56,6829.2408847,894.56
2017-01-26,893.68,919.48,889.98,918.62,4814.27669184,918.62
2017-01-27,918.52,924.88,908.01,923.05,4951.91128404,923.05
2017-01-28,923.06,924.8,913.08,917.35,2426.69495506,917.35
2017-01-29,917.03,919.99,913.13,916.03,1080.42227565,916.03
2017-01-30,916.29,921.38,910.0,920.46,2073.26199332,920.46
2017-01-31,921.37,959.97,917.5,957.03,7048.73794019,957.03
2017-02-01,957.79,977.52,947.98,967.9,9255.05586694,967.9
2017-02-02,967.9,995.62,966.2,993.38,6478.46600082,993.38
2017-02-03,994.59,1022.64,987.01,1015.8,11914.9152494,1015.8
2017-02-04,1015.39,1020.0,1004.0,1013.34,4853.54416495,1013.34
2017-02-05,1013.34,1044.23,1004.7,1014.6,6691.80570165,1014.6
2017-02-06,1014.61,1031.94,1005.0,1021.92,4701.483942,1021.92
2017-02-07,1021.92,1056.25,1017.0,1047.98,5569.7842974,1047.98
2017-02-08,1047.98,1070.0,1025.0,1053.08,9274.06980948,1053.08
2017-02-09,1054.02,1074.69,913.73,979.04,22164.6055949,979.04
2017-02-10,979.04,992.0,950.0,980.01,11922.5409378,980.01
2017-02-11,980.01,1020.0,971.42,1006.74,6817.40741897,1006.74
2017-02-12,1006.9,1019.0,997.04,1003.02,2871.32309634,1003.02
2017-02-13,1003.01,1007.89,975.1,996.77,4420.81184134,996.77
2017-02-14,996.86,1019.0,987.97,1010.71,6566.02096422,1010.71
2017-02-15,1010.7,1012.54,1000.97,1009.98,3415.36364274,1009.98
2017-02-16,1009.22,1036.0,1007.2,1033.96,4780.51372781,1033.96
2017-02-17,1034.5,1064.99,1026.81,1056.8,6615.88719117,1056.8
2017-02-18,1056.8,1068.99,1049.94,1065.06,5183.49620069,1065.06
2017-02-19,1065.06,1067.0,1039.07,1051.0,2590.61178185,1051.0
2017-02-20,1052.2,1064.67,1044.39,1062.5,2375.00321278,1062.5
2017-02-21,1063.06,1117.0,1057.95,1101.16,7677.78249251,1101.16
2017-02-22,1101.91,1135.0,1098.16,1131.22,9603.32952416,1131.22
2017-02-23,1131.21,1160.0,1120.73,1155.12,12113.0945677,1155.12
2017-02-24,1155.16,1220.0,1091.1,1197.0,20505.1370642,1197.0
2017-02-25,1197.0,1206.73,1145.0,1159.98,6772.40704405,1159.98
2017-02-26,1159.98,1177.99,1127.0,1168.37,4941.24517733,1168.37
2017-02-27,1169.99,1193.32,1167.04,1182.05,3860.43717644,1182.05
2017-02-28,1182.05,1209.99,1176.27,1187.15,7802.60621073,1187.15
2017-03-01,1186.01,1231.0,1184.85,1215.41,6664.65124441,1215.41
2017-03-02,1215.41,1254.9,1215.0,1251.15,5177.95412123,1251.15
2017-03-03,1253.0,1298.0,1239.38,1273.92,9734.91019751,1273.92
2017-03-04,1276.31,1289.55,1230.0,1248.55,5092.01229803,1248.55
2017-03-05,1248.02,1270.0,1232.1,1264.76,3728.71438116,1264.76
2017-03-06,1264.76,1285.0,1251.0,1279.01,3972.02252927,1279.01
2017-03-07,1279.01,1281.62,1175.97,1232.32,11446.285993,1232.32
2017-03-08,1231.03,1268.0,1160.0,1187.14,12440.5108692,1187.14
2017-03-09,1187.01,1199.0,1135.01,1192.0,10315.5099616,1192.0
2017-03-10,1191.71,1350.0,1170.0,1239.73,14701.6218935,1239.73
2017-03-11,1239.72,1293.0,975.0,1184.74,27098.9071437,1184.74
2017-03-12,1184.65,1224.0,1159.57,1210.05,4923.67424429,1210.05
2017-03-13,1211.32,1249.02,1210.0,1240.37,6279.78562779,1240.37
2017-03-14,1241.0,1260.0,1226.5,1246.93,5851.50700974,1246.93
2017-03-15,1248.52,1260.0,1238.32,1256.2,3965.41276874,1256.2
2017-03-16,1256.85,1259.99,1209.56,1218.99,7962.33824146,1218.99
2017-03-17,1218.99,1221.4,1077.38,1158.84,20118.697512,1158.84
2017-03-18,1159.64,1165.91,948.73,971.68,21501.3558264,971.68
2017-03-19,974.05,1024.92,944.36,1021.4,13197.0299719,1021.4
2017-03-20,1021.44,1063.7,1006.56,1043.31,9137.059187,1043.31
2017-03-21,1043.31,1094.5,1025.0,1087.33,9848.8483176,1087.33
2017-03-22,1089.48,1117.9,1001.7,1016.98,12963.2989541,1016.98
2017-03-23,1015.04,1054.4,988.0,1044.13,9592.35498127,1044.13
2017-03-24,1044.4,1046.2,968.28,989.97,11080.4562827,989.97
2017-03-25,989.7,990.57,891.33,930.8,17340.0902815,930.8
2017-03-26,930.19,997.0,917.28,992.28,8637.43228652,992.28
2017-03-27,992.74,1030.99,937.52,1030.96,9399.5571822,1030.96
2017-03-28,1028.2,1068.26,1008.62,1059.81,8233.68537692,1059.81
2017-03-29,1059.81,1059.99,1008.16,1041.99,10872.3486336,1041.99
2017-03-30,1041.36,1050.28,1017.14,1021.04,8993.439278,1021.04
2017-03-31,1021.04,1081.0,1020.27,1079.0,9530.96019563,1079.0
2017-04-01,1079.78,1097.0,1059.0,1073.65,8087.30123964,1073.65
2017-04-02,1073.68,1089.0,1061.64,1089.0,4396.1123124,1089.0
2017-04-03,1089.0,1138.22,1071.12,1135.9,11823.8597719,1135.9
2017-04-04,1135.9,1162.93,1118.85,1131.13,9245.23750147,1131.13
2017-04-05,1131.13,1145.0,1111.0,1120.14,6258.49365706,1120.14
2017-04-06,1120.09,1178.96,1119.14,1168.31,6762.11082948,1168.31
2017-04-07,1169.9,1202.0,1167.95,1193.0,6969.19584123,1193.0
2017-04-08,1192.36,1198.13,1181.02,1186.18,3889.13567992,1186.18
2017-04-09,1185.12,1198.88,1166.66,1198.56,3473.22871274,1198.56
2017-04-10,1198.03,1219.71,1197.46,1208.05,4785.78546191,1208.05
2017-04-11,1210.41,1222.0,1195.0,1219.03,3863.1671021,1219.03
2017-04-12,1219.03,1229.0,1208.0,1219.0,2885.28856591,1219.0
2017-04-13,1219.05,1221.5,1165.0,1174.98,6057.77422673,1174.98
2017-04-14,1174.3,1193.0,1141.0,1176.1,10147.4921521,1176.1
2017-04-15,1176.1,1192.5,1160.61,1185.0,2617.52268981,1185.0
2017-04-16,1185.0,1190.73,1150.0,1168.0,2829.68126987,1168.0
2017-04-17,1163.01,1192.5,1161.0,1187.77,2745.99404233,1187.77
2017-04-18,1187.65,1210.0,1174.88,1202.25,5595.22802551,1202.25
2017-04-19,1202.25,1209.99,1190.0,1202.0,4880.1245722,1202.0
2017-04-20,1202.19,1230.0,1190.0,1229.91,6120.19510388,1229.91
2017-04-21,1229.86,1252.32,1223.66,1239.52,5360.22862286,1239.52
2017-04-22,1241.58,1247.15,1199.0,1227.72,4620.94736286,1227.72
2017-04-23,1224.36,1248.99,1223.42,1240.2,3181.38314746,1240.2
2017-04-24,1240.2,1248.4,1231.0,1244.57,3021.47383264,1244.57
2017-04-25,1246.38,1274.0,1243.03,1269.4,4056.46980231,1269.4
